ACCNTNUM,ACCNTNAME,ACCGRPNAME,UWRITRNAME,PRODID,BRANCHNAME,PRODNAME,CEDANTID,CEDANTNAME,POLICYNUM,LOBNAME,INCEPTDATE,EXPIREDATE,UNDCOVAMT,UNDCOVCUR,PARTOF,PARTOFCUR,POLICYTYPE,POLICYSTRUCTURE,MINDEDAMT,MINDEDCUR,MAXDEDAMT,MAXDEDCUR,BLANDEDAMT,BLANDEDCUR,BLANLIMAMT,BLANLIMCUR,BLANPREAMT,BLANPRECUR,COMBINEDLIM,COMBINEDLCUR,COMBINEDDED,COMBINEDDCUR,COMBINEDPREM,COMBINEDPCUR,COVBASE,LIMITGU,USERDEF1,USERDEF2,USERDEF3,USERDEF4,USERTXT1,USERTXT2,POLICYUSERTXT1,POLICYUSERTXT2,POLICYUSERTXT3,POLICYUSERTXT4
2AR 1862694_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1862694 02,,ASST,ASST,2AR 1862694_24_1,xScotia xLending,2024-12-16,2025-12-16,0,USD,128924,USD,2,1,0,USD,0,USD,0,USD,128924,USD,928,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1864341_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1864341 02,,ASST,ASST,2AR 1864341_24_1,xScotia xLending,2024-12-23,2025-12-23,0,USD,80578,USD,2,1,0,USD,0,USD,0,USD,80578,USD,615,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1864821_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1864821 02,,ASST,ASST,2AR 1864821_24_1,xScotia xLending,2024-12-19,2025-12-19,0,USD,331381,USD,2,1,0,USD,0,USD,0,USD,331381,USD,2326,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1870779_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1870779 02,,ASST,ASST,2AR 1870779_24_1,xScotia xLending,2024-12-21,2025-12-21,0,USD,105717,USD,2,1,0,USD,0,USD,0,USD,105717,USD,807,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1879797_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1879797 02,,ASST,ASST,2AR 1879797_24_1,xScotia xLending,2025-01-02,2026-01-02,0,USD,362663,USD,2,1,0,USD,0,USD,0,USD,362663,USD,2545,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1880408_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1880408 02,,ASST,ASST,2AR 1880408_24_1,xScotia xLending,2024-05-15,2025-05-15,0,USD,138765,USD,2,1,0,USD,0,USD,0,USD,138765,USD,999,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2AR 1881631_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1881631 02,,ASST,ASST,2AR 1881631_24_1,xScotia xLending,2024-12-28,2025-12-28,0,USD,84244,USD,2,1,0,USD,0,USD,0,USD,84244,USD,643,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1CY1,CHO,ASIC,ASIC
2AR 1887924_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1887924 02,,ASST,ASST,2AR 1887924_24_1,xScotia xLending,2024-12-30,2025-12-30,0,USD,89514,USD,2,1,0,USD,0,USD,0,USD,89514,USD,684,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0NF2,CHO,ASIC,ASIC
2AR 1889867_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1889867 02,,ASST,ASST,2AR 1889867_24_1,xScotia xLending,2025-01-09,2026-01-09,0,USD,197300,USD,2,1,0,USD,0,USD,0,USD,197300,USD,1421,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1891146_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1891146 02,,ASST,ASST,2AR 1891146_24_1,xScotia xLending,2024-12-31,2025-12-31,0,USD,106213,USD,2,1,0,USD,0,USD,0,USD,106213,USD,811,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0NV4,CHO,ASIC,ASIC
